date,label,nb_visits,entry_nb_visits,exit_nb_visits
NA,api/1/discussions/?for=53699edca3a729239d205fb3,570,0,3
NA,register/done/index,568,290,205
NA,api/1/discussions/?for=536c47bfa3a72933d8d1b3a6,566,0,3
NA,api/1/discussions/?for=536991dba3a729239d203d88,564,0,1
NA,fr/datasets/carte-de-comptages-oise/index,564,511,356
NA,fr/datasets/liste-de-prenoms/index,562,527,325
NA,fr/reuses/datafrance-plateforme-de-visualisation-open-data/index,561,149,115
NA,api/1/discussions/?for=536991b0a3a729239d203d13,547,0,2
NA,api/1/discussions/?for=53699925a3a729239d205177,545,0,4
NA,fr/datasets/contours-iris/index,539,435,280
NA,fr/organizations/meteo-france/index,535,470,293
NA,fr/faq/producer/index,534,42,141
NA,api/1/discussions/?for=538071a9a3a7297e4d35d6ce,533,0,4
NA,api/1/discussions/?for=53699a19a3a729239d2053df,531,0,4
NA,fr/datasets/recensement-des-licences-et-clubs-aupres-des-federations-sportives-agreees-par-le-ministere-charge-d/index,530,465,304
NA,fr/datasets/table-de-correspondance-des-communes-et-des-cantons-avec-les-circonscriptions-legislat-551418/index,530,448,269
NA,fr/datasets/?page=4,526,10,45
NA,api/1/discussions/?for=536998fda3a729239d2050f8,525,0,0
NA,api/1/organizations/540f9a01a3a72928898af4a3/ - Autres,524,1,0
NA,fr/datasets/population-par-tranche-d-age-et-sexe-estimations-localisees-de-population/index,524,438,311
NA,api/1/discussions/?for=53699fe4a3a729239d206227,521,1,3
NA,fr/datasets/montant-dallocation-chomage-et-salaires-de-reference-des-allocataires-de-lassurance-chomage/index,521,517,515
NA,"api/1/spatial/zones/country-group/world,fr/region/04,fr/county/973,fr/county/971,country/be,country/fr,fr/county/972,country/ch",519,2,0
NA,api/1/discussions/?for=53699e2aa3a729239d205dea,518,0,5
NA,fr/datasets/recensement-des-equipements-sportifs-espaces-et-sites-de-pratiques/index,518,231,172
NA,api/1/discussions/?for=5710b9f088ee383cf54d8898,514,0,4
NA,api/1/discussions/?for=575e9fac88ee38072a640390,513,0,4
NA,api/1/spatial/zones/fr/county/60,512,0,0
NA,api/1/discussions/?for=558c1f7ec751df6e8da453b9,505,0,1
NA,fr/datasets/communes-en-zone-de-revitalisation-rurale-zrr-en-correze/index,504,469,331
NA,fr/reuses/carte-des-parrainages-pour-les-presidentielles-2017/index,504,431,229
NA,fr/topics/logement-developpement-durable-et-energie/datasets,504,13,65
NA,api/1/spatial/zones/country-group/world,500,3,2
NA,fr/datasets/liste-des-boites-aux-lettres-de-rue-france-metropolitaine-et-dom-1/index,500,387,234
NA,fr/reuses/cartographie-des-parrainages-aux-presidentielles-2017/index,497,73,71
NA,api/1/discussions/?for=536995ada3a729239d2047b3,495,0,2
NA,fr/datasets/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques-irve/index,487,144,151
NA,api/1/spatial/zones/country-group/ue,480,5,1
NA,fr/datasets/nomenclature-code-des-nouvelles-regions-2016/index,480,433,241
NA,fr/organizations/ministere-de-l-interieur/index,474,337,269
NA,fr/datasets/contours-des-regions-francaises-sur-openstreetmap/index,473,239,141
NA,api/1/discussions/?for=5809e241c751df2646c562c5,472,0,1
NA,fr/datasets/impots-locaux/index,470,251,142
NA,fr/datasets/nomenclature-des-categories-socio-professionnelles-du-ministere-de-l-interieur-codes-csp/index,470,448,212
NA,api/1/spatial/zones/fr/town/35288,463,0,0
NA,api/1/discussions/?for=575ac81188ee380c3c640390,461,0,2
NA,fr/reuses/legifrance/index,459,449,292
NA,fr/datasets/limites-administratives-francaises-issues-d-openstreetmap/index,454,297,162
NA,fr/datasets/panorama-des-grands-projets-si-de-letat-1/index,449,248,132
NA,fr/datasets/contour-des-iris-insee-tout-en-un/index,446,322,224
NA,api/1/discussions/?for=53699934a3a729239d2051a1,445,0,1
NA,api/1/discussions/?for=54b43646c751df7383ae2614,442,1,2
NA,fr/organizations/agence-nationale-d-appui-a-la-performance-des-etablissements-de-sante-et-medico-sociaux-anap/index,441,431,395
NA,fr/reuses/comment-la-banlieue-parisienne-sest-uberisee/index,440,31,70
NA,fr/topics/economie-et-emploi/datasets,440,4,43
NA,fr/datasets/base-de-donnees-publique-des-medicaments-base-officielle/index,435,238,184
NA,fr/organizations/agence-nationale-pour-la-cohesion-sociale-et-l-egalite-des-chances/index,434,429,378
NA,api/1/spatial/zones/fr/county/75,432,0,0
NA,api/1/discussions/?for=5369986ba3a729239d204f55,429,0,1
NA,fr/posts/le-repertoire-sirene-est-disponible-en-open-data/index,429,85,80
NA,api/1/discussions/?for=55424b64c751df766fa7b26f,428,0,1
NA,api/1/discussions/?for=547738bcc751df6b1372f5d6,427,0,1
NA,"api/1/spatial/zones/fr/region/02,fr/region/06,fr/county/978,country-subset/fr/metro,fr/region/03,fr/region/01,fr/region/04,fr/county/977,fr/county/975,fr/county/986,fr/county/987,fr/county/988",422,0,1
NA,api/1/me/metrics/ - Autres,421,0,2
NA,fr/reuses/irsn-connaitre-le-potentiel-radon-de-sa-commune/index,417,389,198
NA,"api/1/spatial/zones/country/fr,fr/county/972,fr/region/03,fr/county/987,fr/county/971,fr/county/988,fr/county/986,fr/town/97501,fr/town/51509,fr/town/50450,fr/town/66184,fr/town/47222",413,2,2
NA,api/1/discussions/?for=53699ebba3a729239d205f58,411,0,0
NA,api/1/discussions/?for=536991b2a3a729239d203d1a,411,0,0
NA,api/1/discussions/?for=5369965fa3a729239d204999,406,0,1
NA,"api/1/spatial/zones/fr/region/04,fr/region/01,fr/region/03,country-subset/fr/metro,fr/region/02",404,0,0
NA,fr/datasets/liste-des-casernes-a-paris-et-dans-les-departements-de-la-petite-couronne-551678/index,402,394,242
NA,api/1/spatial/zones/fr/county/44,400,1,0
NA,api/1/spatial/zones/fr/county/67,399,0,1
NA,api/1/discussions/?for=5661a04088ee3863e240355f,396,0,1
NA,api/1/spatial/zones/fr/county/ - Autres,395,0,0
NA,fr/datasets/donnees-openstreetmap-integrales-de-france-metropolitaine/index,395,221,192
NA,api/1/me/org_discussions/ - Autres,391,0,2
NA,api/1/me/org_issues/ - Autres,391,0,1
NA,api/1/me/org_reuses/ - Autres,391,0,0
NA,api/1/discussions/?for=58b9774c88ee3824533614cb,388,0,2
NA,api/1/discussions/?for=53699ebba3a729239d205f4f,387,0,1
NA,fr/datasets/finess-extraction-du-fichier-des-etablissements/index,387,48,86
NA,api/1/discussions/?for=53699027a3a729239d203920,385,0,2
NA,fr/organizations/ministere-de-l-economie-de-l-industrie-et-du-numerique/index,385,366,288
NA,api/1/discussions/?for=5735b0f188ee38799bd1b934,384,0,0
NA,api/1/discussions/?for=582e1e2888ee386b7ac65bb4,382,0,1
NA,api/1/discussions/?for=53699d52a3a729239d205bdd,380,0,0
NA,api/1/discussions/?for=5448d3e0c751df01f85d0572,378,0,2
NA,api/1/discussions/?for=53699333a3a729239d204119,377,0,0
NA,api/1/discussions/?for=53699af3a3a729239d2055f5,376,0,1
NA,api/1/discussions/?for=57235a51c751df3898fcca0d,376,0,1
NA,api/1/spatial/zones/fr/town/31555,376,0,0
NA,fr/topics/culture/datasets,376,4,34
NA,api/1/spatial/zones/fr/region/94,375,0,0
NA,fr/organizations/data-gouv-fr/index,375,237,52
NA,api/1/discussions/?for=557ac950c751df3e461d4bfd,374,0,3
NA,api/1/spatial/zones/fr/town/92040,374,0,0
NA,fr/reuses/carte-des-ressorts-des-tgi-et-competence-police-gendarmerie/index,368,238,179
NA,fr/topics/societe/datasets,368,50,71
NA,api/1/discussions/?for=536998c8a3a729239d205051,366,0,2
NA,fr/reuses/les-13-nouvelles-regions-francaises/index,364,334,252
NA,fr/datasets/carte-des-departements-2/index,363,233,151
NA,api/1/discussions/?for=536997c9a3a729239d204da7,361,0,1
NA,fr/organizations/cour-des-comptes/index,349,293,158
NA,fr/datasets/circonscriptions-legislatives/index,348,184,167
NA,api/1/discussions/?for=553f31fec751df67c0e96a3b,346,0,0
NA,api/1/discussions/?for=558bc1e2c751df5322a453bd,345,0,0
NA,"api/1/spatial/zones/country-subset/fr/metro,country-subset/fr/domtom,fr/county/977,fr/county/978",344,0,1
NA,fr/topics/education-et-recherche/datasets,344,5,30
NA,api/1/discussions/?for=5369a160a3a729239d2065bc,340,0,1
NA,fr/organizations/ministere-des-finances-et-des-comptes-publics/index,340,237,212
NA,fr/datasets/l-impot-sur-le-revenu-par-collectivite-territoriale/index,338,187,129
